label,length,punct
ham,111,9
ham,29,6
spam,155,6
ham,49,6
ham,61,2
spam,147,8
ham,77,2
ham,160,6
spam,157,6
spam,154,2
ham,109,6
spam,136,8
spam,155,8
ham,196,4
ham,35,2
spam,149,11
ham,26,6
ham,81,5
ham,56,1
spam,155,8
ham,41,1
ham,47,0
ham,52,6
ham,88,3
ham,57,2
ham,144,7
ham,30,1
ham,134,6
ham,75,7
ham,64,4
ham,130,4
ham,189,7
ham,29,1
ham,84,1
spam,158,2
ham,122,6
ham,47,3
ham,28,0
ham,27,6
ham,155,7
ham,82,3
ham,142,15
spam,172,5
ham,19,1
ham,72,10
ham,32,4
ham,45,2
ham,31,2
ham,67,2
ham,148,7
ham,58,2
ham,124,11
ham,80,1
ham,289,14
spam,120,5
ham,76,6
spam,161,12
ham,34,3
ham,22,0
ham,40,3
ham,108,5
ham,48,2
ham,25,0
ham,56,2
ham,110,2
spam,152,3
ham,122,8
spam,159,10
spam,78,5
ham,34,1
ham,46,9
ham,29,1
ham,45,1
ham,42,6
ham,20,3
ham,43,2
ham,73,2
ham,50,3
ham,42,5
ham,76,4
ham,22,2
ham,32,2
ham,32,0
ham,36,0
ham,14,1
ham,55,5
ham,121,4
ham,144,4
ham,42,1
ham,41,5
ham,58,3
ham,195,5
ham,141,2
spam,137,2
ham,107,3
spam,158,8
ham,33,3
ham,51,1
ham,178,7
ham,31,0
ham,57,3
ham,81,2
ham,76,3
ham,160,6
ham,183,8
ham,44,0
ham,95,2
ham,43,2
ham,82,1
ham,115,6
ham,30,3
ham,40,1
ham,31,2
ham,96,4
spam,158,6
ham,143,15
ham,156,13
spam,152,7
ham,72,4
ham,86,6
spam,144,3
spam,156,6
ham,53,3
spam,156,2
ham,52,1
ham,38,2
ham,20,2
ham,244,9
ham,22,1
ham,107,4
ham,28,5
ham,9,2
ham,39,3
ham,25,1
spam,125,5
spam,162,8
ham,38,4
ham,34,1
ham,46,1
spam,155,4
ham,85,12
ham,33,2
ham,27,2
ham,156,9
ham,42,2
ham,25,0
ham,48,1
spam,159,7
ham,84,3
ham,33,3
ham,30,2
ham,45,3
ham,59,1
ham,25,6
ham,160,6
ham,384,16
ham,28,1
ham,27,4
ham,157,8
spam,124,2
spam,145,3
ham,115,1
ham,64,5
ham,85,5
spam,152,13
spam,155,6
ham,51,1
spam,156,5
ham,74,3
ham,67,2
ham,59,5
ham,50,2
ham,94,12
ham,33,1
ham,105,6
ham,61,7
ham,65,1
ham,26,1
ham,146,14
ham,66,1
ham,126,5
ham,159,3
ham,23,2
ham,65,2
ham,24,2
ham,26,1
ham,152,7
ham,34,1
spam,147,2
ham,55,1
