label,length,punct
ham,19,2
spam,136,7
ham,119,1
ham,126,13
ham,31,2
ham,26,6
ham,26,3
spam,53,7
ham,59,3
ham,22,2
ham,70,11
spam,54,2
ham,54,5
ham,24,12
ham,155,4
ham,131,3
ham,160,9
ham,29,4
ham,42,4
ham,47,8
ham,26,2
ham,26,3
ham,23,2
ham,40,2
ham,156,6
ham,63,1
ham,45,16
ham,4,7
ham,145,2
ham,149,9
ham,160,0
ham,114,3
ham,148,1
spam,71,4
spam,49,6
ham,55,1
ham,146,0
ham,47,0
ham,136,5
ham,232,1
ham,102,8
ham,89,3
ham,38,4
spam,276,2
ham,143,2
ham,155,4
ham,67,6
ham,42,2
ham,70,8
ham,51,0
spam,148,0
ham,161,3
spam,160,3
spam,129,4
ham,77,2
spam,129,1
ham,156,2
ham,38,6
ham,107,0
ham,107,1
ham,147,1
ham,144,6
ham,157,9
ham,45,4
ham,129,2
ham,59,3
ham,34,9
ham,112,7
ham,51,1
spam,28,1
ham,141,12
ham,59,1
ham,158,1
ham,28,7
ham,23,3
ham,61,10
ham,31,0
ham,27,4
ham,57,7
ham,52,3
spam,16,11
ham,147,2
ham,31,7
ham,87,6
ham,37,1
ham,102,3
ham,29,4
ham,145,0
spam,149,3
ham,160,2
ham,248,2
ham,43,6
ham,62,7
ham,42,2
ham,55,2
ham,148,7
ham,67,6
ham,130,2
ham,95,2
ham,150,3
ham,133,1
ham,23,5
ham,85,4
ham,155,0
spam,49,2
ham,135,8
ham,148,1
ham,44,4
ham,27,0
ham,148,1
ham,75,5
ham,126,3
spam,51,19
ham,119,3
ham,155,2
spam,110,11
ham,36,10
ham,53,2
spam,76,0
ham,110,1
ham,38,11
spam,23,1
ham,26,4
ham,80,1
ham,37,5
ham,148,9
ham,22,2
spam,30,2
ham,69,0
ham,160,2
ham,169,9
ham,155,0
ham,37,2
ham,33,12
spam,157,2
ham,25,2
ham,107,1
ham,25,1
ham,126,4
spam,55,7
spam,43,4
ham,24,2
ham,109,4
ham,143,8
ham,28,2
ham,63,8
ham,221,3
ham,48,1
ham,68,3
ham,29,1
spam,92,3
ham,155,5
ham,152,2
ham,141,3
spam,108,2
ham,47,2
ham,24,2
ham,36,3
ham,155,2
ham,22,2
ham,76,2
ham,46,1
ham,88,3
ham,29,6
ham,109,7
ham,48,7
ham,153,2
ham,142,8
ham,59,7
ham,160,1
ham,51,2
ham,58,2
ham,26,1
ham,149,1
ham,94,4
ham,39,5
ham,22,0
ham,138,0
spam,27,19
ham,45,2
ham,160,3
ham,160,0
spam,32,3
spam,95,4
ham,142,2
ham,161,2
ham,48,3
ham,26,2
ham,65,12
ham,169,23
ham,36,5
spam,52,8
spam,81,10
ham,26,5
ham,89,3
ham,289,4
ham,45,2
spam,70,0
spam,169,4
ham,117,5
ham,178,2
ham,155,1
ham,24,0
spam,65,1
ham,37,7
ham,44,7
ham,107,2
ham,106,8
ham,42,15
ham,105,3
ham,48,11
ham,42,10
ham,31,8
ham,155,3
ham,124,0
ham,148,6
ham,72,1
ham,23,1
ham,86,5
spam,55,2
ham,42,13
ham,79,4
ham,99,4
ham,31,1
ham,202,1
ham,19,5
spam,35,4
ham,145,8
spam,42,1
ham,62,11
ham,56,6
ham,53,2
ham,57,8
ham,136,4
ham,111,0
ham,37,6
ham,51,6
ham,22,2
ham,67,4
ham,117,2
spam,71,6
spam,155,2
spam,160,3
ham,72,8
ham,115,2
spam,47,0
ham,142,1
spam,141,4
spam,156,1
spam,28,3
ham,28,3
ham,31,0
spam,150,0
ham,158,6
ham,61,0
ham,104,9
spam,160,4
ham,57,1
ham,47,3
ham,41,1
ham,143,6
spam,31,7
ham,94,2
ham,90,2
spam,31,12
ham,142,3
ham,96,7
ham,155,2
ham,67,2
ham,22,4
ham,119,1
ham,31,5
spam,158,5
spam,54,4
ham,62,1
ham,45,6
ham,155,4
ham,45,9
ham,155,3
ham,136,3
spam,31,8
ham,131,1
ham,148,1
ham,3,1
ham,31,3
ham,48,3
ham,158,0
ham,156,2
ham,195,0
ham,63,5
ham,26,6
ham,26,4
ham,133,2
